Itrs,Loss,Overall_Acc,Mean_IoU
1162,0.272506,,
1163,0.224987,,
1164,0.166939,,
1165,0.168866,,
1166,0.171447,,
1167,0.216094,,
1168,0.290016,,
1169,0.392471,,
1170,0.349867,,
1171,0.263389,,
1172,0.214528,,
1173,0.176459,,
1174,0.236756,,
1175,0.343450,,
1176,0.296007,,
1177,0.176441,,
1178,0.324534,,
1179,0.283203,,
1180,0.473316,,
1181,0.350702,,
1182,0.326479,,
1183,0.155957,,
1184,0.301043,,
1185,0.271729,,
1186,0.236554,,
1187,0.207347,,
1188,0.254725,,
1189,0.338142,,
1190,0.280340,,
1191,0.344514,,
1192,0.140317,,
1193,0.281420,,
1194,0.272653,,
1195,0.323463,,
1196,0.234237,,
1197,0.237515,,
1198,0.288649,,
1199,0.292850,,
1200,0.316714,0.899403,0.645074
1201,0.324760,,
1202,0.432859,,
1203,0.178371,,
1204,0.164874,,
1205,0.361038,,
1206,0.155223,,
1207,0.266950,,
1208,0.213783,,
1209,0.305758,,
1210,0.201426,,
1211,0.264245,,
1212,0.275171,,
1213,0.180784,,
1214,0.514265,,
1215,0.213193,,
1216,0.342530,,
1217,0.248212,,
1218,0.262773,,
1219,0.122861,,
1220,0.458467,,
1221,0.363854,,
1222,0.136933,,
1223,0.151251,,
1224,0.227564,,
1225,0.344766,,
1226,0.182459,,
1227,0.396401,,
1228,0.142964,,
1229,0.191106,,
1230,0.215886,,
1231,0.191850,,
1232,0.199134,,
1233,0.209284,,
1234,0.193336,,
1235,0.328507,,
1236,0.231071,,
1237,0.283323,,
1238,0.190225,,
1239,0.321478,,
1240,0.429088,,
1241,0.267087,,
1242,0.186619,,
1243,0.354403,,
1244,0.203802,,
1245,0.212889,,
1246,0.327537,,
1247,0.437831,,
1248,0.266691,,
1249,0.263954,,
1250,0.425902,,
1251,0.232292,,
1252,0.200267,,
1253,0.433183,,
1254,0.216693,,
1255,0.351953,,
1256,0.115134,,
1257,0.169848,,
1258,0.349680,,
1259,0.259974,,
1260,0.278168,,
1261,0.205818,,
1262,0.239244,,
1263,0.320133,,
1264,0.371495,,
1265,0.411704,,
1266,0.327109,,
1267,0.185468,,
1268,0.394786,,
1269,0.194540,,
1270,0.192296,,
1271,0.327376,,
1272,0.215048,,
1273,0.228769,,
1274,0.362911,,
1275,0.229621,,
1276,0.160129,,
1277,0.181517,,
1278,0.180168,,
1279,0.267084,,
1280,0.416440,,
1281,0.258507,,
1282,0.216126,,
1283,0.336370,,
1284,0.146843,,
1285,0.341586,,
1286,0.254590,,
1287,0.278656,,
1288,0.412328,,
1289,0.296017,,
1290,0.180456,,
1291,0.536126,,
1292,0.269944,,
1293,0.174465,,
1294,0.381458,,
1295,0.284575,,
1296,0.329690,,
1297,0.233467,,
1298,0.322553,,
1299,0.384554,,
1300,0.335936,0.895151,0.636067
1301,0.168937,,
1302,0.270001,,
1303,0.210597,,
1304,0.301923,,
1305,0.329039,,
1306,0.160639,,
1307,0.316172,,
1308,0.229819,,
1309,0.311750,,
1310,0.290609,,
1311,0.248167,,
1312,0.278804,,
1313,0.309724,,
1314,0.218062,,
1315,0.206185,,
1316,0.224739,,
1317,0.279669,,
1318,0.318463,,
1319,0.288617,,
1320,0.298989,,
1321,0.377678,,
1322,0.200083,,
1323,0.309043,,
1324,0.280028,,
1325,0.224198,,
1326,0.233520,,
1327,0.247540,,
1328,0.228959,,
1329,0.183407,,
1330,0.208446,,
1331,0.187683,,
1332,0.188691,,
1333,0.141773,,
1334,0.187368,,
1335,0.334139,,
1336,0.729596,,
1337,0.375935,,
1338,0.195233,,
1339,0.161668,,
1340,0.163584,,
1341,0.179909,,
1342,0.372829,,
1343,0.148467,,
1344,0.281577,,
1345,0.213043,,
1346,0.298545,,
1347,0.174791,,
1348,0.355730,,
1349,0.192554,,
1350,0.269755,,
1351,0.187454,,
1352,0.199640,,
1353,0.294036,,
1354,0.237384,,
1355,0.259131,,
1356,0.181823,,
1357,0.214245,,
1358,0.224511,,
1359,0.224462,,
1360,0.523767,,
1361,0.299009,,
1362,0.211091,,
1363,0.204046,,
1364,0.253888,,
1365,0.225696,,
1366,0.489012,,
1367,0.239981,,
1368,0.439552,,
1369,0.255425,,
1370,0.307057,,
1371,0.136017,,
1372,0.209291,,
1373,0.256764,,
1374,0.202586,,
1375,0.209872,,
1376,0.217844,,
1377,0.417454,,
1378,0.184865,,
1379,0.232652,,
1380,0.142412,,
1381,0.312407,,
1382,0.383997,,
1383,0.353894,,
1384,0.531336,,
1385,0.257930,,
1386,0.265065,,
1387,0.313757,,
1388,0.221305,,
1389,0.143547,,
1390,0.409334,,
1391,0.403370,,
1392,0.157350,,
1393,0.242803,,
1394,0.298890,,
1395,0.395989,,
1396,0.219344,,
1397,0.371995,,
1398,0.360270,,
1399,0.268089,,
1400,0.360147,0.897607,0.635921
1401,0.274027,,
1402,0.171317,,
1403,0.349446,,
1404,0.132157,,
1405,0.215579,,
1406,0.209892,,
1407,0.279626,,
1408,0.258169,,
1409,0.162731,,
1410,0.637223,,
1411,0.535459,,
1412,0.245405,,
1413,0.264438,,
1414,0.206862,,
1415,0.261962,,
1416,0.373752,,
1417,0.235453,,
1418,0.243850,,
1419,0.269030,,
1420,0.187319,,
1421,0.247037,,
1422,0.309420,,
1423,0.147841,,
1424,0.140388,,
